#{"t_start": 1752288568.589439, "env_id": "None"}
r,l,t
0.100391,500,10208.242298
4.710488,500,10222.828124
4.288732,500,10236.801101
26.252429,500,10272.300927
2.296139,500,10285.469261
7.156399,500,10298.94355
23.062102,500,10312.404518
7.826359,500,10344.74213
11.290201,500,10358.220117
6.625105,500,10371.505887
11.654878,500,10384.654613
10.428024,500,10404.387184
2.094182,500,10417.323027
-2.261912,500,10430.504427
7.104159,500,10443.864463
22.477722,500,10476.434769
6.718392,500,10490.419815
19.012713,500,10504.442629
26.954046,500,10518.541022
-0.619492,500,10551.537649
10.317855,500,10565.650166
12.927199,500,10578.925179
14.492356,500,10592.374904
16.61424,500,10625.280309
10.316605,500,10639.449804
23.026821,500,10655.112948
4.843906,500,10668.230293
24.165073,500,10699.898204
16.0097,500,10713.097931
16.418682,500,10726.293664
14.933493,500,10739.966317
9.699213,500,10760.37254
14.712022,500,10774.167663
14.303023,500,10787.645451
15.12218,500,10800.954953
15.616789,500,10835.411649
9.272047,500,10849.124533
7.865061,500,10862.560182
27.708443,500,10876.437094
5.825379,500,10908.459517
4.877336,500,10922.436682
12.616717,500,10936.195048
10.970264,500,10949.534538
10.259991,500,10980.561405
10.590386,500,10994.143691
8.597945,500,11007.998056
-0.325587,500,11021.625713
14.42055,500,11053.378318
7.065872,500,11069.221771
-0.046041,500,11082.997234
29.430119,500,11096.303507
4.564881,500,11115.688489
17.847813,500,11132.338772
14.87843,500,11148.877866
8.683512,500,11164.074033
10.837918,500,11209.448293
4.32381,500,11226.533657
16.692785,500,11245.34538
-0.30265,500,11263.515948
8.176529,500,11301.505422
5.635003,500,11317.870975
17.778062,500,11336.885579
17.568694,500,11352.788592
5.782883,500,11389.371319
13.292882,500,11402.752273
7.537396,500,11416.716452
7.425458,500,11430.390113
2.000144,500,11461.894
10.762293,500,11475.765509
1.404365,500,11488.969276
15.637624,500,11502.229261
16.71932,500,11523.820034
0.849074,500,11537.912929
-2.649217,500,11551.194205
3.920599,500,11564.840945
15.088304,500,11600.752253
-2.072743,500,11616.935405
0.515365,500,11633.945831
4.522686,500,11650.562097
8.149659,500,11685.056383
4.119312,500,11698.948683
13.915135,500,11712.500985
12.408087,500,11725.904952
16.936086,500,11762.85287
9.229572,500,11778.561946
8.636451,500,11793.660394
4.144487,500,11807.494106
15.351296,500,11838.841871
4.60479,500,11852.280685
1.956408,500,11865.480362
19.818914,500,11878.512059
28.019808,500,11896.901127
13.969908,500,11909.822494
4.254801,500,11923.225527
1.752496,500,11936.220677
17.14367,500,11966.70793
5.765712,500,11979.650573
1.898988,500,11992.975935
10.137891,500,12005.800667
19.485967,500,12036.560126
25.872737,500,12049.691647
-1.083912,500,12063.215335
5.656653,500,12076.498525
8.148485,500,12107.140594
13.909287,500,12120.314726
8.844092,500,12133.75614
17.239732,500,12147.509758
21.919836,500,12179.537008
27.444139,500,12192.971285
0.923815,500,12206.185445
22.676292,500,12219.86239
8.957503,500,12240.147289
19.00058,500,12253.722961
13.835204,500,12267.135618
21.273527,500,12280.909186
16.896298,500,12312.468459
14.690754,500,12325.694792
17.227816,500,12338.834567
13.94826,500,12353.059024
12.357818,500,12388.505397
9.624093,500,12402.237796
11.688456,500,12415.683923
5.06917,500,12429.816474
13.802694,500,12461.022875
12.967543,500,12474.17006
7.497944,500,12487.526769
13.27797,500,12500.711119
3.295975,500,12530.666943
15.272159,500,12543.889459
10.192654,500,12557.063127
